text,label
"selamat malam bu kasiyah dan teman teman kelompok 1 , terimakasih alfan atas jawabannya, awalnya saya ragu untuk menyatakan makhluk itu juga termasuk vektor di r6. namun, setelah membaca referensi bacaan lain seperti yang telah diberikan christo dan buku elementary linear algebra 11th edition application version ( howard anton, chris rorres). saya menjadi sangat setuju dengan alfan dan bahkan dua buah vektor r6 tersebut selain dapat di dot product, mencari distance seperti yang dikatakan christo, juga disebut ortogonal jika hasil dot product nya 0 . selain itu berlaku pula sifat sifat komutatif pada dot productnya, termasuk juga komutatif pada perkalian skalar yang dibuat dari entitas a ke entitas c . mohon maaf apabila ada kesalahan dalam tulisan saya, mudah mudahan kita sama sama bisa saling belajar disini, terima kasih smile",C3
"saya sependapat denganmu farras. kebingungan itu juga saya alami saat kemarin mencoba menjawab pertanyaan bu kasiyah 😂. satu hal yang mungkin masih sedikit membingungkan bagi saya, bagaimana representasi dari arah vektor di r6? 

berdasarkan definisi vektor, vektor adalah besaran yang mempunyai besaran dan arah. jika kita berbicara mengenai vektor di r2 atau r3 kita bisa dengan mudah melihat arahnya dalam representasi geometris. akan tetapi bagaimana dengan arah vektor di r6 yang sulit kita visualisasikan dalam bentuk geometris? 

mungkin teman-teman bisa membantu menjawab kebingungan saya. 

sekian, selamat pagi.
",C2
"terima kasih banyak;

untuk membahasa arah, coba ingat, kalian pelajari dulu bagaimana menghitung sudut antara 2 vektor di r2 dan r3. berikut pertanyaan yang mengarahkan:

- bagaimana menghitung panjang vektor di r6

- bagaimana menghitung sudut antara dua vektor di r6

petunjuk: ingat kembali bagaimana rumus panjang dan arah di r2 dan r3 dengan menggunakan dot-product.

salam

kasiyah
",C0
"selamat siang bu kasiyah dan teman teman,

terimakasih alfan, christo, dan farras, atas jawabannya yang telah memberi trigger kepada ingatan saya mengenai materi vektor ini. kita tahu bahwa vektor di r2 adalah segmen garis yang berada pada dimensi bidang, sedangkan vektor di r3 adalah segmen garis yang berada di dimensi ruang. nah, untuk vektor di r6 , saya sendiri juga memiliki kebingungan tentang arah dan representasinya. 

terimakasih juga kepada bu kasiyah yang telah memberikan arahan dengan beberapa pertanyaan diatas, saya akan berusaha untuk menjawabnya, 

- bagaimana menghitung panjang vektor di r6

untuk vektor di r2, misalkan vektor v = (v1 , v2),  maka panjang vektor v adalah : 

sedangkan untuk vektor di r3, misalkan vektor v = (v1 , v2, v3), maka panjang vektor v adalah :   

jadi kita dapat menggeneralisasi untuk vektor di r6, misalkan vektor v = (v1 , v2, v3, v4, v5, v6), maka panjang vektor v adalah : 

nah pertanyaan selanjutnya, 

- bagaimana menghitung sudut antara dua vektor di r6

misalkan ada vektor a = (a1, a2, a3) dan vektor b = (b1, b2, b3) , jadi untuk menghitung sudut antara dua vektor tersebut rumusnya adalah 

maka untuk vektor di r6, dapat kita cari sudutnya dengan rumus:

demikian pendapat dari saya, jika ada kesalahan dan kekeliruan, saya sangat terbuka untuk dikoreksi oleh teman teman maupun bu kasiyah smile.

terimakasih big grin
",C3
"thanks fiqri buat jawabannya yang sangat membantu menjawab kebingungan saya.

untuk melanjutkan pembahasan kita tentang pemicu yang diberikan jumat kemarin, bagaimana y= sin x dipandang sebagai vektor, mari kita bahas disini teman-teman.
",C1
"selamat pagi bu kasiyah dan teman teman , 

terima kasih christo telah mengingatkan pemicu tersebut. dari pemicu tersebut saya berpikir dengan pendekatan ruang vektor r kemarin yang sudah kita pelajari, ruang vektor r adalah himpunan dari bilangan nyata, dapat dijumlahkan dan perkalian dengan skalar dan hasilnya tertutup.

bagaimana jika y = sin x , kita pandang sebagai salah satu vektor di ruang vektor (kita sebut saja f) , yang berupa himpunan dari fungsi fungsi yang dapat dijumlahkan dan perkalian dengan skalar yang haslnya berupa fungsi juga, karena y =  sin x adalah fungsi trigonometri berarti ruang vektor f bersifat tertutup pad fungsi trigonometri 

dan karena itu pula sebuah fungsi kontinu,  saya mengira kita juga pula perlu mengecek kontinuitasnya dengan limit pada operasi penjumlahan dan perkalian dengan skalarnya 

 

mungkin sekian dari pendapat saya, terima kasih banyak 

mohon koreksi jika ada kesalahan dan saya sangat berterima kasih jika ada yang ingin menambahkan
",C2
"selamat malam bu kasiyah dan teman-teman senang rasanya bisa kembali dalam forum ini. sebelumnya saya sangat setuju dengan pendapat farras .saya disini mungkin akan menjelaskan dan memberikan insight saya terhadap vector.

saya teringat tentang pertanyaan yang diajukan di kelas pada jumat lalu. setelah saya telusuri lebih dalam tentang vector . saya mungkin akan merubah perspektif saya terhadap definisi vector yaitu sebuah objek yang dapat dijumlahkan dan dikalikan dengan suatu bilangan dan vector ini secara umum tinggal di ruang vector yaitu   himpunan v, bersama-sama dengan dua operasi, yaitu penjumlahan vektor dan perkalian skalar, dan memenuhi aksioma-aksioma sebagai berikut:

    v tertutup terhadap jumlahan, dan

untuk setiap vektor u, v dalam v dan sembarang bilangan real (skalar) k berlaku:

  2. u + v = v + u

  3. u + (v + w) = (u + v) + w

  4. terdapat objek 0 pada v, yang disebut vektor nol, sehingga

0 + u = u + 0 = u untuk semua u pada v

  5. untuk setiap u pada v, terdapat negatif –u pada v sehingga

u + (-u) = (-u) + u = 0

  6. jika k skalar dan u elemen di v, maka ku terdapat pada v

  7. k(u + v) = ku + kv

  8.  (k + i)u = ku + iu

  9.  k(lu) = (kl)u

10.  1u = u

 

berdasarkan kesepuluh aksioma tersebut kita dapat membuktikkan bahwa y=sin x merupakan sebuah vector karena memenuhi kesepeluh aksioma tersebut. akan tetapi , seperti yang dikatakan oleh farras kita harus kontinuitasnya untuk menyatakan bahwa y=sin x adalah sebuah vector.

demikian insight yang saya share kepada teman-teman saya berharap teman-teman dapat menambahkannya ataupun memperbaikinya.


terima kasih
",C3
"terima kasih banyak alfan smile , ternyata 10 aksioma tersebutlah yang kita cari selama ini, itu lebih memudahkan kita dalam menentukan apakah suatu himpunan ruang vektor atau bukan, 
 

saya ingin sedikit lagi menambahkan saya baru ingat bahwa y = sin x adalah fungsi terdiferensial  yang artinya sudah pasti dia kontinu karena salah satu syarat terdiferensial dia harus fungsi kontinu.
",C3
wah terima kasih farras karena sudah mengingatkan. hal ini membuktikan sekaligus menjawab bahwa y=sin x bisa disebut sebagai ruang vektor.,C3
"selamat malam bu kasiyah dan teman-teman semua,
pertama-tama saya ingin berterima kasih kepada farras dan alfan yang sudah memberikan pendapat yang menurut saya sangat baik. saya banyak terbantu dengan insight yang diberikan.

berdasarkan apa yang dikatakan alfan dan farras, serta apa yang saya coba cari dari interner, saya setuju dengan pendapat farras dan alfan yang menyatakan fungsi y=sin x dapat dinyatakan sebagai ruang vektor karena memenuhi 10 aksioma yang telah dijelaskan alfan di atas.

saya juga setuju kalau kita perlu melakukan pengecekan terhadap kontinuitas dari fungsi sin x tersebut dalam interval yang ditentukan. hal ini tentu saja agar semua aksioma terpenuhi. misalnya fungsi tersebut tidak kontinu, maka akan kontradiksi dengan aksioma kalau penjumlahan tiap elemen dari vektor yang ada di ruang vektor tersebut bersifat tertutup.

saya kita itu yang bisa sampaikan melengkapi pendapat farras dan alfan di atas. silakan dikoreksi atau ditanyakan apabila ada yang kurang jelas.

sekian,
terima kasih! smile
",C3
"selamat malam bu kasiyah dan teman teman kelompok ""kitabisa""

sebelumnya saya ingin berterimakasih kepada bu kasiyah yang telah memberikan kami suatu pemicu, yaitu ""bagaimana y = sin x dipandang sebagai vektor"". saya juga berterimakasih kepada alfan christo dan farras yang telah menyampaikan pandangannya dan telah membantu saya dalam memahami pemicu ini.

setelah membaca pendapat dari alfan dan farras, saya juga setuju bahwa fungsi y = sin x dapat kita pandang sebagai vektor karena memenuhi 10 aksioma yang ada dan juga fungsi y = sin x adalah fungsi yang kontinu. bisa kita lihat pada gambar dibawah ini (gambarnya dapat dibuat di https://www.desmos.com big grin)

saya hanya ingin menambahkan sedikit saja, bahwa dari gambar diatas kita dapat mengetahui bahwa fungsi y = sin x bersifat kontinu, karena seperti yang telah kita pelajari di semester 1 matematika dasar, suatu fungsi dikatakan kontinu apabila :

    tidak adanya jump pada fungsi (yaitu keadaan dimana limit kiri dan kanannya berbeda)
    tidak adanya osilasi kasar
    fungsi tidak membesar dan mengecil tanpa batas.

saya rasa hanya itu yang bisa saya tambahkan. silahkan dikoreksi jika ada kesalahan,

terimakasih wink
",C3
"wah wah...surprise

sebenarnya saya juga kesulitan dalam mencari bukti apakah y = sin x ini bisa kita pandang sebagai vektor. tapi untunglah alfan telah memberikan saya pengetahuan baru tentang ruang vektor, jujur saya baru mengetahui bahwa ada 10 aksioma yang harus dipenuhi agar sesuatu itu bisa kita sebut sebagai vektor.

terimakasih alfan telah membagikan pengetahuan yang luar biasa ini yes
",C3
"super! kelompok yang saling melengkapi. sukses individu adalah sukses bersama

kelompok yang baik adalah kelompok yang swim and sink together (kata pakar online learning jhonson & johnson). ini yang disebut sebagai positive interdependency

proses yang baik menghasilkan pemahaman yang baik.

saya sedikit koreksi ya; y = sin x adalah vektor bukan ruang vektor.

 

semangaat
",C2
"selamat pagi bu kasiyah,

terima kasih untuk feedback dan koreksi yang diberikan. semoga dengan membahas hal ini pemahaman kami tentang vektor semakin meningkat.

salam
",C0
"selamat pagi bu kasiyah dan teman-teman. sebelumnya, terima kasih bu kasiyah atas memberikan respon yang positif kepada kelompok kami. saya disini ingin mengingatkan pertanyaan yang belum terjawab pada diskusi sebelumnya yaitu ""mengapa kita dapat mengeneralisasikan operasi dot product di ruang vektor sedangkan di 10 aksioma tersebut tidak menyinggung operasi dot product sama sekali?""

demikian pertanyaan dari kelompok kami, saya berharap kita dapat menjawab pertanyaan ini bersama-bersama dan saya juga memohon bimbingan bu kasiyah untuk menuntun kami untuk menjawab pertanyaan ini.

terima kasih
",C1
"selamat pagi bu kasiyah dan teman-teman semua, melanjutkan dari apa yang sudah dijelaskan oleh fiqri sebelumnya bahwa ada 10 aksioma yang harus dipenuhi agar suatu himpunan dapat dikategorikan sebagai ruang vektor (dalam kasus ini kita membahas fungsi), maka saya akan memberikan pembuktian bahwa fungsi yang kontinu di interval tertutup tertentu dapat disebut sebagai ruang vektor.

misalkan a[2,4] adalah himpunan semua fungsi bernilai real yang kontinu di interval tertutup [2,4], maka:
    operasi penjumlahan (+) didefinisikan sebagai: f+g = (f+f)(x) = f(x) +g(x)
    operasi perkalian dengan skalar (.) didefinisikan sebagai: kf = (kf)(x) = k.f(x)
    elemen nol di a adalah fungsi yang memetakan ke 0 untuk semua nilai x dalam interval [2,4]

pembuktian a[2,4] sebagai ruang vektor:

    (+) tertutup
        f + g = (f+g)(x) = f(x)+g(x). karena f dan g adalah suatu fungsi, sehingga f(x) dan g(x) memiliki nilai fungsi yang spesifik, sehingga f(x)+g(x) menghasilkan suatu nilai yang spesifik dan berada dalam himpunan fungsi tersebut
    (.) tertutup
        kf = (kf)(x) = k.f(x)
        perkalian fungsi dengan skalar menghasilkan nilai yang berada di himpunan fungsi yang sama.
    terdapat elemen nol (elemen identitas dengan penjumlahan)
        f + 0 = f
        f + 0 = f(x) +0 = f(x) = f
    terdapat -f sehingga f + (-f) = 0
        -f = -f(x) 
        f + -f = f(x) - f(x) = 0
    terdapat elemen identitas terhadap perkalian dengan skalar
        1f = 1f(x) = f(x) = f
    komutatif pada (+)
        f+g = g+f
        f(x)+g(x) = g(x)+f(x) = g+f
    asosiatif pada (+)
        (f+g)+h = f+(g+h)
        (f+g)+h = (f+g)(x)+h(x) = (f+g+h)(x) = f(x) + (g+h)(x) = f+(g+h)
    distributif (.) terhadap (+) 
        k(f+g) = k{f(x)+g(x)} = kf(x) + kg(x) = kf+kg
    distributif penjumlahan skalar terhadap vektor 
        (k + l)f = kf + lf
        (k + l)f =(k+l)f(x) = {kf(x) + lf(x)} = kf + lf
    asosiatif pada (.)
        k(lf) = (kl)f
        k(lf) = k(l.f(x)) = klf(x) = (kl)f(x) = kl(f)

 
berikut pembuktian yang bisa saya tambahkan, mohon dikoreksi apabila ada kesalahan atau kekeliruan. 
atas perhatiannya, terima kasih! smile
",C3
"sangat menarik ya pembahasan mengenai vektor ini. terima kasih christo, fiqri dan alfan yang telah menyimpulkan, memberikan pembuktian dan juga memberikan pertanyaan juga terima kasih banyak bu kasiyah atas penjelasan dan arahannya hari ini smile.

 

saya hanya ingin sedikit menambahkan mengenai vektor 0 yang berada pada fungsi yaitu vektor yang dibawa ke titik 0 (vektor yg berwarna merah) . contohnya ialah y = -5 . dibawa ke titik 0 . atau penjumlahan antara vektor f(hijau) dengan -f (biru).

 

saya mencoba menampilkan contoh gambarnya :
",C2
"selamat sore bu kasiyah dan teman-teman , setelah menelusuri lebih dalam tentang ruang vektor saya mendapatkan sebuah informasi yang menarik untuk di share di forum ini . kali ini saya akan memberikan sebuah insight menarik tentang subruang vektor yang mungkin tertinggal pada diskusi kita. 
 

apa itu subruang vektor?

subhimpunan w yang tidak kosong dari ruang vektor v yang dapat kita terapkan operasi penjumlahan dan perkalian dengan skalar.

bagaimana cara membuktikkan subruang vektor?

untuk membutikkan sebuah subruang vektor dapat kita lakukan pengecekkan 10 sifat yang sudah kita ketahui sebelumnya.

apakah semua ruang vektor memilki subruang?

ya, karena seperti yang kita ketahui setiap ruang vektor pasti memilki himpunan {0}. himpunan {0} inilah yang menyebabkan ruang vektor pasti akan mempunyai subruang yaitu {0}.

 
dari beberapa insight yang sudah saya berikan timbul pertanyaan dikepala saya yaitu ""mengapa kita membutuhkan subruang vektor yang didefinisikan hampir mirip dengan ruang vektor dan juga bagaimana kegunaannya?"". 
 

demikian informasi yang sudah saya sampaikan saya berharap informasi ini dapat berguna kepada teman-teman smile) dan saya juga berharap teman-teman dan bu kasiyah dapat membantu  saya menjawab pertanyaan yang sudah saya sampaikan.

 

terima kasih
",C2
kelompok ini berproses dengan amat baik dan produktif. dapat dilihat dinamika pembentukan pengetahuan bersama. menarik sekali bagaimana ada informasi baru menarik (sub-ruang) yang di luar tugas awal. hal ini membantu menyiapkan diri pada bahasan lebih mendalam. super kalian semua.,C0
"terima kasih bu kasiyah untuk feedbacknya terhadap kelompok kami. saya berharap ke depannya melalui diskusi-diskusi yang kami lakukan dapat membantu kami dalam memahami materi yang ada. 

salam
",C0
"dari hasil diskusi kelompok, kami menyimpulkan beberapa poin bahwa vektor adalah suatu entitas matematika yang berada pada ruang vektor, dimana ruang vektor adalah suatu himpunan tidak kosong yang dapat dioperasikan penjumlahan dan perkalian dengan skalar. selain itu ruang vektor juga harus memenuhi 10 aksioma yang berkaitan dengan penjumlahan dan perkalian dengan skalar.

kami juga menyimpulkan bahwa ruang vektor pada fungsi dapat kita generalisasikan dengan prinsip pada ruang euclid. 

sekian kesimpulan dari kelompok kitabisa,

terimakasih big grin",C4
"apa khabar semuanya?

silahkan sebutkan nama kelompok, ketua dan anggotanya ya. jika siap pemicu akan diberikan. semangat

salam

kasiyah
",C0
"selamat pagi, apa khabar?",C0
terimakasih atas arahannya.,C0
"selamat siang bu kasiyah, mohon maaf atas ketelatan dalam menjawab forum online. izinkan saya untuk memperkenalkan kelompok kami.

kami dari kelompok 'determinan' berisikan :

1. ardiaf rizky aula
2. kurnia ilham wijayadi
3. m faarih ihsan, sebagai ketua kelompok
4. m rian alpajirin.

kami siap untuk mendiskusikan pemicu yang diberikan. sekali lagi kami memohon maaf atas ketelatannya, semoga ibu memaafkan atas kesalahan kami. terimakasih smile
",C0
"dear ihsan dan anggota kelompok 2.
silahkan diskusikan pertanyaan-pertanyaanberikut ini.
• pernahkah kalian berpikir tentang dimensi selain dimensi 3?
• bisakah kita melakukan cross product r3 dengan r2? jika bisa, apa hasilnya dan berikan contoh elemen di dalamnya.
silahkan didiskusikan, saya akan memantau dan membantu jika diperlukan.

 salam
kasiyah
",C1
saya bingung apa maksud pertanyaan.,C1
kita diminta menentukan apakah barisan tak hingga merupakan vektor.,C1
saya tidak memahami mengapa fungsi bisa dipandang sebagai vektor.,C1
"pertanyaan pemicu merupakan hal yang baru bagi saya, saya masih bertanya-tanya apa maksudnya. apakah ada yang dapat membantu saya?",C1
"setahu saya vektor adalah besaran yang mempunyai besar dan arah. jika barisan tak hingga vektor, bagaimana menggambarnya? saya tidak paham.minta bantuan teman-teman.",C1
kita pada tahap mencoba memahami pertanyaan/pemicu (triggering event). tugas kita adalah mendefinisikan vektor versi baru.,C1
"kita pada tahap eksplorasi, kita perlu mengumpulkan apa saja yang sudah kita ketahui dan apa yang perlu kita baca lagi.  kita telah tahu bahwa vektor adalah besaran yang mempunyai besar dan arah.kita dapat menghitung panjang vektor. silahkan teman-teman menambah informasi lain yang relevan.",C2
"selamat sore bu kasiyah dah teman-teman.

 
pernahkah saya berpikir tentang dimensi selain dimensi 3?

saya pernah berpikir tentang dimensi yang lebih dari 3 dimensi, namun sampai sekarang masih belum bisa direpresentasikan bentuk dari dimensi yang lebih dari 3.

 
bisakah kita melakukan cross product r^3 ke r^2?

menurut saya tidak bisa, karena dari yang saya pelajari 

hasil kali 2 vektor axb yang dimana

a = axi + ayj + azk

b = bxi + byj + bzk

maka hasil cross product adalah:

axb = (aybz - azby)i + (azbx - axbz)j + (axby - aybx)k

sehingga menurut saya tidak mungkin ketika r3 melakukan cross product dengan r2.

 

sekian dari saya, jika terdapat kesalahan mohon dibenarkan smile terimakasih.
",C3
"dear ihsan dan anggota kelompok 2;

senang sekali kamu masih mengingat operasi cross product di r3.

yang disampaikan pada pemicu untuk kelompok ini adalah cross product antara dua himpunan. masih ingat ketika kita membahas rxr untuk memperoleh r2 dan r3 = r2xr?

silahkan dilanjutkan diskusinya yaa.

semangat
",C1
saya sepakat.,C2
saya setuju dengan  pendapat teman-teman. ,C2
saya melanjutkan pendapat x sebelumnya.,C2
coba kita fokus pada komponen vektor.,C2
"selamat pagi bu, sepertinya saya sudah lupa dan harus belajar lagi. big grinbig grin 

mungkin teman-teman yang lain bisa membantu, terimakasih
",C0
"ihsan, salah adalah cara belajar yang baik;

bagaimana yang lain?

salam

kasiyah
",C0
coba kita ubah asumsi bahwa vektor dapat digambar. tidak semua vektor bisa digambar.,C2
kita simpulkan bahwa matriks adalah vektor,C2
menggabungkan pendapat x dan y kita bisa menyimpulkan bahwa untuk menjadi vektor dia harus anggota ruang vektor.,C3
saya setuju pendapat a bahwa a dan b bebas linear karena a tidak dapat diperoleh dari b. kita lihat bahwa a bukan kelipatan skalar dari b. ,C2
"assalamualaykum wr wb.

selamat siang ibu kasiyah dan teman-teman sekalian, disini saya akan merespon pemicu yang telah dilontarkan oleh ibu kasiyah sebelumnya. 
pernahkah kalian berpikir tentang dimensi selain dimensi 3?
tentu pernah. bahkan secara pribadi saya cukup tertarik dengan topik semacam ini sehingga saya mulai membaca beberapa buku yang berkaitan, seperti ""a brief history of time"" dan ""the grand design"" karya stephen hawking. beberapa ahli berpendapat bahwa kehidupan kita dalam semesta ini sesungguhnya berdimensi 4 yaitu dimensi ruang dan waktu yang didalamnya terdapat ruang dengan 3 dimensi ( panjang, lebar, dan kedalaman ) dan ketiga dimensi tersebut relatif terhadap dimensi ke-empat yaitu waktu yang terus berjalan secara linear dan dianggap selalu begitu, namun belakangan ini kita baru mengetahui bahwa waktu juga dapat terpengaruh oleh beberapa faktor lain seperti gravitasi dan gaya elektromagnetik yang semakin memperkuat teori waktu sebagai dimensi. ada banyak game yang juga mengimplementasikan konsep 4 dimensi didalamnya sehingga mungkin bisa membantu untuk mendapatkan gambarannya ( contohnya game miegakure). sedangkan dimensi ke-lima biasa digunakan untuk merepresentasikan keterkaitan antar gaya abstrak seperti gaya gravitasi dan elektromagnetik dengan menggunakan kaluza-klein theory. sedangkan untuk di luar semesta kita ( multi-verse theory ), para ahli meyakini terdapat setidaknya 10 dimensi untuk mendukung string theory - yang mana masih belum dapat saya pahami walaupun telah mencoba untuk mempelajarinya.
 
bisakah kita melakukan cross product r3 dengan r2? jika bisa, apa hasilnya dan berikan contoh elemen di dalamnya.

tidak bisa. cross product tidak dapat dioperasikan terhadap vektor berdimensi 2 karena operasi tersebut tak terdefinisi di dalamnya. namun ada beberapa orang yang tetap mengoperasikannya terhadap vektor berdimensi 2 dengan menganggap nilai z=0 dan hasilnya akan tetap berdimensi 3.  cross product sendiri digunakan untuk menghitung luas parallelogram antar 2 vektor berdimensi 3 dan menghasilkan vektor baru dengan panjang = besar luas parallelogram tersebut dan bersifat perpendikular terhadap paralellogram tersebut yang arahnya dapat ditentukan dengan aturan tangan kanan.
 
terima kasih, mohon dikoreksi jika ada kesalahan dan dilengkapi jika ada yang kurang.


wassalam

avi.
",C3
saya tidak sependapat dengan teman saya,C3
"jika pendapat a dan b dibandingkan, maka pendapat a lebih dekat dengan solusi. pendapat b terlalu umum.",C3
"selamat sore ibu kasiyah dan kawan - kawan kelompok 2.

terima kasih atas pertanyaannya ibu kasiyah, berikut adalah jawaban yang bisa saya paparkan:

1. pernahkah kalian berpikir dimensi selain dimensi 3?

saya pernah berpikir demikian, saya juga pernah membayangkan hal tersebut namun sayangnya tidak terbayang akan jadi seperti apa dimensi nya. kemudian pertanyaan tersebut sedikit terjawab ketika saya menonton sebuah film berjudal interstellar, pada film tersebut ditunjukkan bagaimana bentuk dari dimensi selain dimensi tiga, walaupun sedikit ambigu, namun hal itu cukup membuat pertanyaan saya terjawab dan cukup membuat saya sedikit heran. hehehe smile

2. bisakah kita melakukan cross product r3 dengan r2? jika bisa, apa hasilnya dan berikan contoh elemen di dalamnya.

menurut saya, hal ini dapat dilakukan. r adalah sebuah himpunan, maka begitu pula dengan r3  dan r2 , perkalian 2 himpunan maka akan himpunan baru. misal, (1,2,3) adalah salah satu elemen dari r3 karena terdapat 3 komponen penyusun dan (4,5) adalah salah satu elemen dari r2 karena memiliki 2 komponen penyusun. maka, hasil cross product dari r3 dan r2 pada contoh ini adalah (1,2,3,4,5)

 

mungkin hanya sekian yang bisa saya sampaikan, mohon koreksi apabila terdapat kesalahan.

terimakasih
",C3
"saya baca pada suatu sumber, ternyata ruang vektor harus merupakan himpunan tidak kosong dan memenuhi 10 aksioma.",C3
ternyata kita harus membuktikan terlebih dahulu. berikut ini bukti salah satu aksioma,C3
"good job!

saya senang membaca gagasan dan cara kalian menyampaikan.

saya coba simpulkan ya: r5 adalah himpunan yang berisi vektor-vektor yang berbentuk (a1, a2, a3, a4, a5). panjangnya dapat dihitung dan sudut antara dua vektor juga dapat dihitung.

selanjutnya silahkan diskusikan pemicu yang diberikan di kelas untuk kelompok 2. kalian mendapat polinomial kan yaa? kalian diminta menjelaskan bagaimana dia dapat dipandang sebagai vektor.

 

salam

kasiyah
",C3
